id,title,date,master,production,category,cast,notes,format,tags,url,encora,niceDate
,Heathers: The Musical,2021-07-21,MozartWasCrazy,First West End Revival,audio,"Christina Bennington (Veronica Sawyer), Jordan Luke Gage (Jason ""J.D."" Dean), Jodie Steele (Heather Chandler), Bobbie Little (Heather Duke), Frances Mayli McCann (Heather McNamara), Joaquin Pedro Valdes (Ram Sweeney), Ross Harmon (Kurt Kelly), Madison Swan (Martha Dunnstock), Lauren Ward (Ms. Fleming), Simon Bailey (Ram's Dad), Steven Serlin (Kurt's Dad), Lauren Ward (Veronica's Mom), Steven Serlin (Veronica's Dad), Simon Bailey (Big Bud Dean), Steven Serlin (Principal Gowan), Simon Bailey (Coach Ripper), Giles Surridge (Beleaguered Geek), Iván Fernández González (Preppy Stud), Christopher Parkinson (Hipster Dork), Teleri Hughes (New Wave Party Girl), Rachel Rawlinson (Stoner Chick), Rumi Sutton (Young Republicanette), Aimee Hodnett (Drama Club Drama Queen), Christopher Parkinson (Officer McCord), Iván Fernández González (Officer Milner)",,M4A (tracked and untracked),,MEGA,1112935,"Jul 21, 2021"
,Frozen,2021-07-15,Unknown,Japan,video,"Riho Mitsui (s/b Elsa), Kaho Sanpei (Anna), Atsuto Yamada (Olaf), Togo Kaminaga (Kristoff), Hiroshi Sugiura (Hans), Kazuki Takeuchi (Oaken), Wataru Yamamoto (Weselton)",Limited Trade (2:1),MP4,,MEGA,1114048,"Jul 15, 2021"
,Cats,2021-06-25,Unknown,Vienna Revival,audio,"Ana Milva Gomes (Grizabella), Rory Six (Old Deuteronomy), Felix Martin (Gus), Birgit Arquin (Bombalurina), Alexander Auler (Munkustrap), Dominik Hees (Rum Tum Tugger), Giulia Vazzoler (Demeter), Anneka Dacres (Cassandra), Gerben Grimmius (Skimbleshanks), Felix Martin (Bustopher Jones), Andrea Luca Cotti (Mungojerrie), Anna Carina Buchegger (Rumpleteazer), Barbara Obermeier (Jellylorum), Katharina Lochmann (Jennyanydots), Johnny Randall (Mr. Mistoffelees), Nicholas Li (Macavity), Riccardo Sinisi (Alonzo), Felix Martin (Growltiger), Matthew Levick (Bill Bailey), Nicholas Li (Admetus), Tommie Luyben (Carbucketty), Astrid Gollob (Jemima), Vicky Riddoch (Electra), Barbara Obermeier (Griddlebone), Johnny Randall (Quaxo), Petra Ilse Dam (Tantomile), Riccardo Sinisi (Rumpus Cat), Hannah Kenna Thomas (Victoria), Jan-Eike Majert (Coricopat), Jan-Eike Majert (Genghis)",,,,MEGA,1122152,"Jun 25, 2021"
,Cats,2021-06-19,MusicalboyTrade,Vienna Revival,audio,"Carin Filipčić (Grizabella), Rory Six (Old Deuteronomy), Felix Martin (Gus), Birgit Arquin (Bombalurina), Alexander Auler (Munkustrap), Alex Snova (Rum Tum Tugger), Anneke Brunekreeft (Demeter), Anneka Dacres (Cassandra), Gerben Grimmius (Skimbleshanks), Felix Martin (Bustopher Jones), Andrea Luca Cotti (Mungojerrie), Anna Carina Buchegger (Rumpleteazer), Barbara Obermeier (Jellylorum), Katharina Lochmann (Jennyanydots), Johnny Randall (Mr. Mistoffelees), Nicholas Li (Macavity), Riccardo Sinisi (Alonzo), Felix Martin (Growltiger), Matthew Levick (Bill Bailey), Nicholas Li (Admetus), Tommie Luyben (Carbucketty), Astrid Gollob (Jemima), Vicky Riddoch (Electra), Barbara Obermeier (Griddlebone), Johnny Randall (Quaxo), Anastasia Bertinshaw (Tantomile), Riccardo Sinisi (Rumpus Cat), Hannah Kenna Thomas (Victoria), Jan-Eike Majert (Coricopat), Jan-Eike Majert (Genghis)",,MP3,,MEGA,1122150,"Jun 19, 2021"
,Cats,2021-06-16,MusicalboyTrade,Vienna Revival,audio,"Carin Filipčić (Grizabella), Rory Six (Old Deuteronomy), Felix Martin (Gus), Birgit Arquin (Bombalurina), Alex Snova (Munkustrap), Dominik Hees (Rum Tum Tugger), Giulia Vazzoler (Demeter), Anneka Dacres (Cassandra), Gerben Grimmius (Skimbleshanks), Felix Martin (Bustopher Jones), Andrea Luca Cotti (Mungojerrie), Vicky Riddoch (Rumpleteazer), Barbara Obermeier (Jellylorum), Katharina Lochmann (Jennyanydots), Matthew Levick (Mr. Mistoffelees), Nicholas Li (Macavity), Riccardo Sinisi (Alonzo), Felix Martin (Growltiger), Tommie Luyben (Bill Bailey), Nicholas Li (Admetus), Johnny Randall (Carbucketty), Astrid Gollob (Jemima), Anastasia Bertinshaw (Electra), Barbara Obermeier (Griddlebone), Matthew Levick (Quaxo), Petra Ilse Dam (Tantomile), Riccardo Sinisi (Rumpus Cat), Hannah Kenna Thomas (Victoria), Jan-Eike Majert (Coricopat), Jan-Eike Majert (Genghis)",,MP3,,MEGA,1122148,"Jun 16, 2021"
,Phantom (Yeston/Kopit),2021-06-10,pro-shot,South Korea (Fourth Season),video,"규현 Kyuhyun (Erik | The Phantom), 임선혜 Im Sun-hae (Christine Daaé), 에녹 Enoch (Count Philippe de Chandon), 윤영석 Yoon Young-seok (Gérard Carrière), 신영숙 Shin Young-sook (Carlotta), 임기홍 Lim Ki-hong (Alain Cholet), 김주원 Kim Joo-won (Belladova), 윤전일 Yoon Jeon-il (Young Carrière)",,,,MEGA,1132580,"Jun 10, 2021"
,Cinderella (Andrew Lloyd Webber),2021-06-01,sandrabanana,West End,video,"Carrie Hope Fletcher (Cinderella), Ivano Turco (Prince Sebastian), Rebecca Trehearn (The Queen), Victoria Hamilton-Barritt (The Stepmother), Laura Baldwin (Adele), Georgina Castle (Marie), Gloria Onitiri (The Godmother), Caleb Roberts (Prince Charming), Vinny Coyle (Arthur), Sam Robinson (Dorian), Giovanni Spano (Gawain), Rodney Vubya (Ensemble), Alexandra Waite-Roberts (Ensemble), Matthieu Vinetot (Ensemble), Georgia Tapp (Ensemble), Georgina Onuorah (Ensemble), Kelsie-Rae Marshall (Ensemble), Jessica Kirton (Ensemble), Kate Ivory Jordan (Ensemble), James Lee Harris (Ensemble), Michael Hamway (Ensemble), Jonathan David Dudley (Ensemble), Nicole Deon (Ensemble), Tobias Charles (Ensemble), Sophie Camble (Ensemble), Michelle Bishop (Ensemble), Lauren Byrne (Ensemble), Michael Afemaré (Ensemble)",4.31GB first video of andrew lloyd webber's cinderella taken during the first week of previews. recorded from the side with no obstructions and the revolving stage and seats are shown clearly. there is one mishap in act 1 where the sheet doesnt come off the statue. no swings were on to the best of my knowledge. original 4k files can be included if wanted. SCREENSHOTS NOT PERMITTED: contact master for info/screenshots.,[1080p] 1.mp4 - 2.3GB | 2.mp4 - 1.99GB  | [4K]  1 .mp4- 29.2GB | 2.mp4 - 25.2GB,,MEGA,1110380,"Jun 1, 2021"
,Hamilton,2021-04-25,JensBooties,First Australian Tour,audio,"Jimmie JJ Jeter (s/b Alexander Hamilton), Chloé Zuel (Eliza Hamilton), Lyndon Watts (Aaron Burr), Akina Edmonds (Angelica Schuyler), Winston Hillyer (s/b George Washington), Victory Ndukwe (Marquis de Lafayette), Victory Ndukwe (Thomas Jefferson), Shaka Cook (Hercules Mulligan), Shaka Cook (James Madison), Marty Alix (John Laurens), Marty Alix (Philip Hamilton), Elandrah Eramiha (Peggy Schuyler), Elandrah Eramiha (Maria Reynolds), Brent Hill (King George III)",,,,MEGA,1110126,"Apr 25, 2021"
,Legally Blonde,2021-04-16,revolting-children,Hama Productions,audio,"Elaina O'Connor (Elle Woods), Lloyd Hopkins (Emmett Forrest), Greg Jarema (Warner Huntington III), Annie Aitken (Paulette), Charlotte Louise (Vivienne Kensington), Zowie Simpson (Brooke Wyndham), Steve Simmons (alt Professor Callahan), Tory Kendrick (Margot), Bella McSporran (Serena), Claudia Haines-Cappeau (Pilar), Vincent Hooper (Kyle), Jamie Mercanti (Dewey), Shanice-Kalina Thompson (Enid), Rachael Caltrona (Kate), Georgia Rodgers (Chutney), Jamie Mercanti (Dad), Jamie Mercanti (Winthrop), Jessie A. James (Mom), Jessie A. James (Whitney), Ethan Churchill (Aaron), Harry Boyle (Padamadan), Tahlia Loren Gibbs (Judge), Harry Boyle (Nikos), Zowie Simpson (Shandi), Shanice-Kalina Thompson (Veronica), Sebastian Coe (Ensemble), Yoel Budianto (Ensemble)",,,,MEGA,1100143,"Apr 16, 2021"
,The Phantom of the Opera (Andrew Lloyd Webber),2021-01-17,Unknown,Japanese Tour,audio,"Yuta Iwaki (The Phantom of the Opera), Sae Yamamoto (Christine Daaé), Susumu Kato (Raoul de Chagny), Aya Kawamura (Carlotta Giudicelli), Koichi Taira (Monsieur Firmin), Morito Masuda (Monsieur André), Jihye Hwang (Madame Giry), Atsuto Yamada (Ubaldo Piangi), Mariko Gosho (Meg Giry)",LT(2:1),,,MEGA,1122730,"Jan 17, 2021"
,The Count of Monte Cristo (Wildhorn),2021-01-01,pro-shot,South Korea (Fifth Season),video,"카이 Kai (Edmond Dantès | The Count of Monte Cristo), 린아 Lina (Mercédès), 김준현 Kim Joon-hyun (Fernand Mondego), 이상준 Lee Sang-jun (Danglars), 최성원 Choi Sung-won (Gérard de Villefort), 이종문 Lee Jong-moon (Abbé Faria), 김영주 Kim Young-joo (Luisa Vampa), 신재범 Shin Jae-beom (Albert Mondego), 최지혜 Choi Ji-hye (Valentine de Villefort)",,,,MEGA,1116481,"Jan 1, 2021"
,Cats,2020-12-16,Unknown,Japan,audio,"Nao Matsumoto (Grizabella), Togo Kaminaga (Rum Tum Tugger), Yui Kobayashi (Skimbleshanks)",,MP3 (untracked),,MEGA,1129160,"Dec 16, 2020"
,Jesus Christ Superstar,2020-09-27,queenofthedead,Regent's Park Open Air Theatre Revival,video,"Declan Bennett (Jesus Christ), Ricardo Afonso (Judas Iscariot), Maimuna Memon (Mary Magdalene), David Thaxton (Pontius Pilate), Ivan de Freitas (Caiaphas), Nathan Amzi (Annas), Phil King (Peter), Cedric Neal (Simon Zealotes), Shaq Taylor (King Herod), Charlotte Riby (Ensemble), Tara Young (Ensemble), Tinovimbanashe Sibanda (Ensemble), Stevie Hutchinson (Ensemble), Rosa O'Reilly (Ensemble), Joshua Hawkins (Ensemble), Genesis Lynea (Ensemble), Elliotte Williams N'Dure (Ensemble), Daniel Bailey (Ensemble), Dale Evans (Ensemble), Billy Nevers (Ensemble), Rosie Fletcher (Ensemble)",,"MP4 (2 files), 4.47 GB / runtime 1:33:49",,MEGA,1004637,"Sep 27, 2020"
,Jesus Christ Superstar,2020-09-22,queenofthedead,Regent's Park Open Air Theatre Revival,audio,"Declan Bennett (Jesus Christ), Ricardo Afonso (Judas Iscariot), Anoushka Lucas (Mary Magdalene), David Thaxton (Pontius Pilate), Ivan de Freitas (Caiaphas), Nathan Amzi (Annas), Phil King (Peter), Cedric Neal (Simon Zealotes), Shaq Taylor (King Herod), Joshua Hawkins (Ensemble), Tinovimbanashe Sibanda (Ensemble), Stevie Hutchinson (Ensemble), Tara Young (Ensemble), Rosie Fletcher (Ensemble), Rosa O'Reilly (Ensemble), Genesis Lynea (Ensemble), Elliotte Williams N'Dure (Ensemble), Daniel Bailey (Ensemble), Dale Evans (Ensemble), Charlotte Riby (Ensemble), Billy Nevers (Ensemble)",,,,MEGA,1004342,"Sep 22, 2020"
,Jesus Christ Superstar,2020-08-23,shoeroom,Regent's Park Open Air Theatre Revival,audio,"Pepe Nufrio (Jesus Christ), Ricardo Afonso (Judas Iscariot), Maimuna Memon (Mary Magdalene), David Thaxton (Pontius Pilate), Ivan de Freitas (Caiaphas), Nathan Amzi (Annas), Phil King (Peter), Cedric Neal (Simon Zealotes), Shaq Taylor (King Herod)",,,,MEGA,1003222,"Aug 23, 2020"
,Aladdin,2020-08-10,Unknown,Shiki Theatre Company,audio,"Tokiya Ganbara (Aladdin), Azusa Hirata (Jasmine), Mitsuyuki Doguchi (Genie), Takeshi Teshigawara (Jafar)",,,,MEGA,1003875,"Aug 10, 2020"
,Six,2020-03-10,queenofthedead,Second UK Tour,audio,"Harriet Watson (alt Catherine of Aragon), Maddison Bulleyment (Anne Boleyn), Lauren Byrne (Jane Seymour), Shekinah McFarlane (Anna of Cleves), Jodie Steele (Katherine Howard), Athena Collins (Catherine Parr)",,,,MEGA,26618,"Mar 10, 2020"
,Cats,2020-03-08,Unknown,Sixth US National Tour,audio,"Donna Vivino (Grizabella), Adam Richardson (Old Deuteronomy), Timothy Gulan (Gus), Emma Hearn (Bombalurina), Zachary S Berger (Munkustrap), McGee Maddox (Rum Tum Tugger), Alexa Racioppi (Demeter), Jordan Betscher (Cassandra), Giovanni Digabriele (Skimbleshanks), Timothy Gulan (Bustopher Jones), Ben Sears (Mungojerrie), Adriana Negron (Rumpleteazer), Madison Mitchell (u/s Jellylorum), Dani Goldstein (Jennyanydots), Maurice Dawkins (u/s Mr. Mistoffelees), Brayden Newby (Macavity), Adam Vanek (Alonzo), Timothy Gulan (Growltiger), Cameron Edris (Bill Bailey), Brayden Newby (Admetus), Cameron Edris (Tumblebrutus), Nevada Riley (Sillabub), Brett Michael Lockley (Pouncival), Erin Chupinsky (u/s Tantomile), Loretta Williams (u/s Victoria), Austin Joseph Reynolds (u/s Coricopat)",,,,MEGA,1001998,"Mar 8, 2020"
,Mean Girls,2020-02-22,StarCuffedJeans,Broadway,audio,"Erika Henningsen (Cady Heron), Reneé Rapp (Regina George), Krystina Alabado (Gretchen Wieners), Kate Rockwell (Karen Smith), Barrett Wilbert Weed (Janis Sarkisian), Grey Henson (Damian Hubbard), Kyle Selig (Aaron Samuels), Cheech Manohar (Kevin Gnapoor), Catherine Brunell (Mrs. Heron), Catherine Brunell (Ms. Norbury), Catherine Brunell (Mrs. George), Rick Younger (Principal Duvall), Susie Carroll (s/w Ensemble), Bria Jené Williams (Ensemble), Sasha Hollinger (Ensemble), Becca Petersen (Ensemble), Daryl Tofa (Ensemble), Curtis Holland (Ensemble), Brittany Nicholas (s/w Ensemble), Riza Takahashi (Ensemble), Pascal Pastrana (Ensemble), Darius Barnes (Ensemble), Aaron Alcaraz (s/w Ensemble), Collins Conley (Ensemble), Stephanie Lynn Bissonnette (Ensemble), Teddy Toye (Ensemble), Drew Redington (Ensemble)",,MP3 (untracked) - 92.3 MB,,MEGA,25775,"Feb 22, 2020"
,The Prince of Egypt,2020-02-05,fleaswillbite,West End,audio,"Luke Brady (Moses), Liam Tamne (Ramses), Alexia Khadime (Miriam), Christine Allado (Tzipporah), Gary Wilmot (Jethro), Joe Dixon (Seti), Tanisha Spring (Nefertari), Mercedesz Csampai (Yocheved), Silas Wyatt-Barke (Aaron), Adam Pearce (Hotep), Debbie Kurup (Queen Tuya)",,,,MEGA,24953,"Feb 5, 2020"
,Chess,2020-02-01,Unknown,Osaka & Tokyo,audio,"Luke Walsh (Freddie Trumper), Samantha Barks (Florence Vassy), Ramin Karimloo (Anatoly Sergievsky), エリアンナ Eliana (Svetlana Sergievsky), Sato Takanori (The Arbiter), Hideya Masuhara (Molokov)",,,,MEGA,30440,"Feb 1, 2020"
,Six,2020-02-01,hitmewithyourbethshot,Second UK Tour,video,"Cassandra Lee (alt Catherine of Aragon), Jennifer Caldwell (alt Anne Boleyn), Lauren Byrne (Jane Seymour), Shekinah McFarlane (Anna of Cleves), Jodie Steele (Katherine Howard), Athena Collins (Catherine Parr)",Includes Megasix (MOV),MTS (HD) + MOV,,MEGA,28811,"Feb 1, 2020"
,"Caroline, or Change",2020-01-31,whataboot77,Toronto,audio,"Jully Black (Caroline Thibodeaux), Vanessa Sears (Emmie Thibodeaux), Deborah Hay (Rose Stopnick Gellman), Evan LeFeuvre (Noah Gellman), Damien Atkins (Stuart Gellman), Alana Hibbert (Dotty Moffett), Sam Rosenthal (Mr. Stopnick), Oliver Dennis (Grandpa Gellman), Linda Kash (Grandma Gellman), Keisha T Fraser (The Washing Machine), Measha Brueggergosman (The Moon), Stewart Adam McKensy (The Dryer), Camille Eanga-Selenge (The Radio), Samantha Walkes (The Radio), Moses Aidoo (Jackie Thibodeaux), Micah Mensah-Jatoe (Joe Thibodeaux)",,untracked m4a (original) + tracked mp3 (re-release),,MEGA,24845,"Jan 31, 2020"
,West Side Story,2020-01-06,Unknown,Third Broadway Revival,video,"Jordan Dobson (u/s Tony), Mia Pinero (u/s Maria), Corey John Snide (u/s Riff), Yesenia Ayala (Anita), Amar Ramasar (Bernardo), Dharon E Jones (Action), Jacob Guzman (Chino), Matthew Johnson (Baby John), Kevin Csolak (A-Rab), Ahmad Simmons (Diesel), Zuri Noelle Ford (Anybodys), Tyler Eisenreich (Big Deal), Thomas Jay Ryan (Lt. Schrank), Daniel Oreskes (Doc), Danny Wolohan (Officer Krupke), Alexa de Barr (Graziella), Lorna Courtney (Rosalia), Pippa Pearthree (Glad Hand), Daniel Ching (Snow Boy), Madison Vomastek (Velma), Carlos Gonzales (Pepe), Marissa Brown (Francisca), Roman Cruz (Luis), Ricky Ubeda (Indio), Israel del Rosario (Anxious), Uni-Seng Francois (Minnie), Gus Reed (Gee-tar), Michaela Marfori (Nibbles), Stephanie Crousillat (Teresita), Marc Crousillat (Juano), Jennifer Gruener (Pauline), Sheldon True (Toro), Gabi Campo (Consuelo), John Snide (Tiger), Marlon Geliz (Estella), Satori Folkes-Stone (Margarita)",,VOB + Smalls (3.87 GB),,MEGA,27377,"Jan 6, 2020"
,Les Misérables,2020-01-05,Radio Broadcast,The All-Star Staged Concert,audio,"Alfie Boe (Jean Valjean), Michael Ball (Javert), Carrie Hope Fletcher (Fantine), Lily Kerhoas (Cosette), Rob Houchen (Marius), Shan Ako (Éponine), Matt Lucas (Thénardier), Bradley Jaden (Enjolras), Katy Secombe (Madame Thénardier), Logan Clark (Gavroche), Raymond Walsh (Grantaire), Vinny Coyle (Feuilly), Barnaby Hughes (Courfeyrac), Craig Mather (Combeferre), Ciaran Joyce (Joly), Gavin James (Factory Foreman), Earl Carpenter (Bamatabois), James Nicholson (Jean Prouvaire), Adam Bayjou (Montparnasse), Oliver Jackson (Claquesous), Andrew York (Lesgles), Leo Roberts (Brujon), Stephen Matthews (Babet), Celia Graham (Factory Girl), Oliver Jackson (Pimp), Tamsin Dowsett (Crone), Earl Carpenter (The Bishop of Digne)",,,,MEGA,24424,"Jan 5, 2020"
,Jesus Christ Superstar,2019-12-22,17fortrade,First Mexican Tour,audio,"Beto Cuevas (Jesus Christ), Erik Rubín (Judas Iscariot), María José (Mary Magdalene), Leonardo de Lozanne (Pontius Pilate), Yahir Othón Parra | Yahir (Peter), Kalimba (Simon Zealotes), Enrique Guzmán (King Herod)",,,,MEGA,33523,"Dec 22, 2019"
,West Side Story,2019-12-10,hi_im_joe,Third Broadway Revival,audio,"Isaac Powell (Tony), Shereen Pimentel (Maria), Ben Cook (Riff), Yesenia Ayala (Anita), Amar Ramasar (Bernardo), Dharon E Jones (Action), Jacob Guzman (Chino), Matthew Johnson (Baby John), Kevin Csolak (A-Rab), Ahmad Simmons (Diesel), Zuri Noelle Ford (Anybodys), Tyler Eisenreich (Big Deal), Thomas Jay Ryan (Lt. Schrank), Daniel Oreskes (Doc), Danny Wolohan (Officer Krupke), Alexa de Barr (Graziella), Lorna Courtney (Rosalia), Pippa Pearthree (Glad Hand), Daniel Ching (Snow Boy), Madison Vomastek (Velma), Carlos Gonzales (Pepe), Marissa Brown (Francisca), Roman Cruz (Luis), Ricky Ubeda (Indio), Israel del Rosario (Anxious), Uni-Seng Francois (Minnie), Gus Reed (Gee-tar), Michaela Marfori (Nibbles), Stephanie Crousillat (Teresita), Marc Crousillat (Juano), Jennifer Gruener (Pauline), Sheldon True (Toro), Gabi Campo (Consuelo), John Snide (Tiger), Marlon Geliz (Estella), Satori Folkes-Stone (Margarita)",,,,MEGA,31338,"Dec 10, 2019"
,Moulin Rouge! The Musical,2019-12-01,StarCuffedJeans,Broadway,video,"Karen Olivo (Satine), Aaron Tveit (Christian), Danny Burstein (Harold Zidler), Tam Mutu (The Duke of Monroth), Sahr Ngaujah (Toulouse-Lautrec), Ricky Rojas (Santiago), Jodi McFadden (u/s Nini), Jacqueline B. Arnold (La Chocolat), Holly James (Arabia), Jeigh Madjus (Baby Doll), Reed Luplau (Pierre), Kyle Brown (Ensemble)","Beautiful HD capture of the original Broadway cast. Starts after Welcome to the Moulin Rouge!. Filmed in 16:9 with a mix of wides, mediums, and close-ups.",,,MEGA,25759,"Dec 1, 2019"
,Six,2019-11-30,myroadofgoodintentions,Pre-Broadway Tour,video,"Adrianna Hicks (Catherine of Aragon), Andrea Macasaet (Anne Boleyn), Mallory Maedke (t/r Jane Seymour), Nicole Kyoung-Mi Lambert (t/r Anna of Cleves), Samantha Pauly (Katherine Howard), Anna Uzele (Catherine Parr)",,,,MEGA,26180,"Nov 30, 2019"
,Tanz der Vampire,2019-11-09,Unknown,Third Japanese Version,video,"Yuichiro Yamaguchi (Graf von Krolock), 神田沙也加 Sayaka Kanda (Sarah), Keisuke Higashi (Alfred), Zen Ishikawa (Professor Abronsius), Kong Kuwata (Chagal), Chihiro Otsuka (Magda), Satomi Achiwa (Magda), 植原卓也 Takuya Uehara (Herbert von Krolock), Hajime Komada (Koukol), Kaiji Moriyama (Tanzsolist)",,MTS,,MEGA,1116155,"Nov 9, 2019"
,Six,2019-11-01,hitmewithyourbethshot,Second UK Tour,video,"Lauren Drew (Catherine of Aragon), Maddison Bulleyment (Anne Boleyn), Lauren Byrne (Jane Seymour), Shekinah McFarlane (Anna of Cleves), Jodie Steele (Katherine Howard), Athena Collins (Catherine Parr)",Includes Megasix (MOV),,,MEGA,21924,"Nov 1, 2019"
,Six,2019-11-01,queenofthedead,Second UK Tour,video,"Lauren Drew (Catherine of Aragon), Maddison Bulleyment (Anne Boleyn), Harriet Watson (alt Jane Seymour), Cassandra Lee (alt Anna of Cleves), Jodie Steele (Katherine Howard), Athena Collins (Catherine Parr)",,,,MEGA,22564,"Nov 1, 2019"
,Six,2019-10-24,pursuitofhappinesspie,Second UK Tour,audio,"Lauren Drew (Catherine of Aragon), Maddison Bulleyment (Anne Boleyn), Lauren Byrne (Jane Seymour), Shekinah McFarlane (Anna of Cleves), Jodie Steele (Katherine Howard), Athena Collins (Catherine Parr)",,,,MEGA,1001615,"Oct 24, 2019"
,Oklahoma!,2019-10-23,musain,Fifth Broadway Revival,video,"Damon Daunno (Curly McLain), Rebecca Naomi Jones (Laurey Williams), Mary Testa (Aunt Eller Murphy), James Davis (Will Parker), Patrick Vaill (Jud Fry), Sasha Hutchings (alt Ado Annie), Will Brill (Ali Hakim), Anthony Cason (Cord Elam), Chelsea Lee Williams (u/s Gertie Cummings), Mitch Tebo (Andrew Carnes), Will Mann (Mike), Demetia Hopkins-Greene (alt Lead Dancer)","Blind lapshot with no zooms, and there are frequently two heads in the way, and the angle is occasionally lopsided slightly. Other issues: Curly being out of the shot for most of The Surrey With The Fringe On Top; shakiness and my hands/playbill being visible during applause breaks because I had to clap; head obstruction during I Caint Say No; some floorshots during Dream Ballet; mic feedback during louder parts; and random bits where I was focusing on the wrong thing/person due to shooting blind. Theres also some parts where the audio cuts off for a second, doesn't perfectly align with the frames, or the video freezes or goes dark while the audio keeps playing. Neither of these glitches last for more than a second, but still must be noted.",,,MEGA,21088,"Oct 23, 2019"
,Starlight Express,2019-10-10,Oceanofdebris,"Bochum, Germany",audio,"Anthony Cragg (u/s Rusty), Markus Fetter (Rusty), Emilie du Leslay (u/s Pearl), David Peter Brown (u/s Greaseball), Adam Lake (Electra), Reva Rice (Momma), Sian Jones (u/s Dinah), Emmanuelle N'zuzi (Belle the Bar Car), Jessica Elizabeth Nelson (u/s Carrie), Daniel Ellison (Caboose), Christian Jones (Dustin), Charles Butcher (Flat Top), Garry Kessing (Rocky 1), Kristian Jacobs (Ruhrgold), Tom Nihill (u/s Espresso), Whitney Martins (Coco), Jack Hinton (Brexit), Jamie Sidhom (Manga), Sam Gallagher (u/s Turnov), Lucy Glover (u/s Joule), Anthony Cragg (Volta), Nathaniel Scott (s/w Volta), Halimah Kyrgios (Wrench), Isaac Edwards (Killerwatt), Etienne Vogel (Trax 1), Joey Egan (Trax 2)",,,,MEGA,28579,"Oct 10, 2019"
,Starlight Express,2019-08-27,Unknown,"Bochum, Germany",video,"Markus Fetter (Rusty), Hollie Aires (Pearl), Ben Carruthers (Greaseball), Adam Lake (Electra), Reva Rice (Momma), Sian Jones (u/s Dinah), Emmanuelle N'zuzi (Belle the Bar Car), Emilie du Leslay (Carrie), Terence Uphoff (u/s Caboose), Christian Jones (Dustin), David Peter Brown (u/s Flat Top), Garry Kessing (Rocky 1), Kristian Jacobs (Ruhrgold), Elizabeth Fullalove (u/s Coco), Jack Hinton (Brexit), Jamie Sidhom (Manga), Jae Red Lempriere | RED (Turnov), Hollie Jane Stephens (Joule), Anthony Cragg (Volta), Halimah Kyrgios (Wrench), Nathaniel Scott (u/s Killerwatt), Etienne Vogel (Trax 1), Jeremy Suarez (Trax 2)",,,,MEGA,33726,"Aug 27, 2019"
,Starlight Express,2019-08-27,Unknown,"Bochum, Germany",audio,"Markus Fetter (Rusty), Hollie Aires (Pearl), Ben Carruthers (Greaseball), Adam Lake (Electra), Reva Rice (Momma), Sian Jones (s/w Dinah), Emmanuelle N'zuzi (Belle the Bar Car), Emilie du Leslay (Carrie), Terrence Liphoff (s/w Caboose), Christian Jones (Dustin), David Peter Brown (Flat Top), Garry Kessing (Rocky 1), Isaac Edwards (Rocky 2), Lucy Glover (Rocky 3)",,,,MEGA,1124496,"Aug 27, 2019"
,The View UpStairs,2019-08-24,magicinthemess,London,audio,"Tyrone Huntley (Wes), Carly Mercedes Dyer (Henri), John Partridge (Buddy), Declan Bennett (Dale), Garry Lee (Freddy), Victoria Hamilton-Barritt (Inez), Joseph Prouse (Richard), Andy Mientus (Patrick), Cedric Neal (Willie), Joseph Prouse (Rita Mae), Derek Hagen (Cop), Derek Hagen (Realtor)",,,,MEGA,22121,"Aug 24, 2019"
,Jesus Christ Superstar,2019-08-16,marina-trading,Barbican Theatre,audio,"Robert Tripolino (Jesus Christ), Ricardo Afonso (Judas Iscariot), Sallay Garnett (Mary Magdalene), Matt Cardle (Pontius Pilate), Cavin Cornwall (Caiaphas), Nathan Amzi (Annas), Matthew Harvey (Peter), Tim Newman (Simon Zealotes)",,,,MEGA,29301,"Aug 16, 2019"
,The View UpStairs,2019-07-18,fleaswillbite,London,audio,"Tyrone Huntley (Wes), Carly Mercedes Dyer (Henri), John Partridge (Buddy), Declan Bennett (Dale), Garry Lee (Freddy), Victoria Hamilton-Barritt (Inez), Joseph Prouse (Richard), Andy Mientus (Patrick), Cedric Neal (Willie), Joseph Prouse (Rita Mae), Derek Hagen (Cop), Derek Hagen (Realtor)",,,,MEGA,16742,"Jul 18, 2019"
,Joseph and the Amazing Technicolor Dreamcoat,2019-07-17,magicinthemess,Fourth West End Revival,audio,"Jac Yarrow (Joseph), Sheridan Smith (Narrator), Sheridan Smith (Jacob), Jason Donovan (Pharaoh), Richard Carson (Reuben), Michael Pickering (Simeon), Femi Akinfolarin (Dan), Jack Wilcox (Napthali), J.R. Ballantyne (Asher), Carl Spencer (Issachar), Harriet Samuel Gray (Reuben's Wife), Casey Al-Shaqsy (Simeon's Wife), Thalia Burt (Levi's Wife), Georgina Parkinson (Dan's Wife), Emily Ann Potter (Naphtali's Wife), Vanessa Fisher (Asher's Wife), Kelsie-Rae Marshall (Issachar's Wife), Matt Krzan (Guard)","Sheridan Smith has the time of her life playing the Narrator (as well as Jacob and Mrs Potiphar) in this crazy and energetic staging at the London Palladium, and a lot of the laughs you can hear are in reaction to something she's doing onstage. Jac is unbelievably talented in this role, which marks his professional debut. Blythe and I'm pretty sure Hannah were on in the ensemble, but I couldn't tell/find out who they were in for, and I'm not sure which of the children were in this performance. Joseph Megamix is missing the first couple seconds of the intro.",,,MEGA,19696,"Jul 17, 2019"
