id,title,date,master,production,category,cast,notes,format,tags,url,encora,niceDate
,Cats,2025-05-16,signalsinmybrain,Paramount Theatre,audio,"Emily Rohm (Grizabella), Lorenzo Rush Jr. (Old Deuteronomy), Gene Weygandt (Gus), Tiffany Topol (Bombalurina), Jake Dimaggio Lopez (Munkustrap), Donovan Hoffer (Rum Tum Tugger), Alexandra Palkovic (Demeter), Selena Robinson (Cassandra), Anakin Jace White (Skimbleshanks), Gene Weygandt (Bustopher Jones), Michael Lunder (Mungojerrie), Dani Goldberg (Rumpleteazer), Allison Sill (Jellylorum), Kat Hoil (Jennyanydots), Christopher Kelley (Mr. Mistoffelees), Matthew Weidenbener (Macavity), Evan C Dolan (Alonzo), Liam Bradley (Admetus), Matthew Millin (Tumblebrutus), Brian Bandura (Carbucketty), Emma Ogea (Sillabub), Matthew Bettencourt (Pouncival), Hayley Larson (Electra), Matthew Weidenbener (Plato), Gene Weygandt (Peter), Kat Harvey (Tantomile), Kara Brody (Victoria), Ryan Huemmer (Coricopat), Sophia Liu David (Etcetera), Shaun Dennison White (George), Emily Scinto (Exotica)",This is the most horrendous thing I have ever seen and my audible reactions reflect this.,M4A (untracked) - 50 MB,,MEGA,2014770,"May 16, 2025"
,Starlight Express,2025-05-01,Jaded_Mandarin27,Troubadour Wembley Park Theatre,audio,"Jeevan Braich (Rusty), Kayna Montecillo (Pearl), Al Knott (Greaseball), Asher Forth (u/s Electra), Jade Marvin (Momma), Bethany Rose Lythgoe (s/w Dinah), Ashlyn Weekes (Belle the Sleeping Car), Renz Cardenas (Tassita), Jaydon Vijn (Hydra), Lewis Kidd (Porter), Harrison Peterkin (Lumber), Emily Martinez (Slick), Hannah Kiss (s/w Blue Lightning), Charles Butcher (s/w Green Arrow), David Peter Brown (Golden Eagle), Oscar Kong (Silver Bullet), Marianthe Panas (Orange Flash), Catherine Cornwall (Joule), Ollie Augustin (Volta), DeeArna McLean (s/w Wrench), Pablo Gomez (Killerwatt), Aanya Devi Sharma (Control), Charlie Russell (Marshal), Dante Hutchinson (Marshal)","Clear audio of this amazing cast, unfortunately there was a very annoying woman next to me shouting, dancing and singing some lines, tbh I don’t know how well you can hear that in the audio. There was a 45 min showstop in act 1, part 1 of act 1 ends directly after Momma’s Blues/Who’ll Come With Me and part 2 starts at Race 2 (showstop cut out, act 1 divided into 2 parts). Also because it took so long, the megamix wasnt performed that night. NFTF except through master",MP3 (untracked) - 95.99 MB,,MEGA,2013734,"May 1, 2025"
,Starlight Express,2025-03-28,totheotherside,Troubadour Wembley Park Theatre,audio,"Pablo Gomez Jones (u/s Rusty), Kayna Montecillo (Pearl), Al Knott (Greaseball), Jae Red Lempriere | RED (s/w Electra), Jade Marvin (Momma), Bethany Rose Lythgoe (s/w Dinah), Ashlyn Weekes (Belle the Sleeping Car), Renz Cardenas (Tassita), Jaydon Vijn (Hydra), Charles Butcher (u/s Porter), Jamie Cruttenden (u/s Lumber), Emily Martinez (Slick), Jessica Vaux (Blue Lightning), Sam Gallacher (s/w Green Arrow), David Peter Brown (Golden Eagle), Oscar Kong (Silver Bullet), Jessie Angell (s/w Orange Flash), Catherine Cornwall (Joule), Ollie Augustin (Volta), Hannah Kiss (s/w Wrench), Gary Sheridan (s/w Killerwatt), Karin Narumi (Control), Dante Hutchinson (Marshal), Jamie Addison (Marshal)","Recorded from the front row of the trackside seats. Clear audio. PABLO'S RUSTY DEBUT!! I have been waiting so long to see this show, and oh my god, it was amazing! Jaydon fell over during the second race. Includes a playbill shot, photo of the cast board and a video of the megamix (with the skate around). Please gift upon request.",,,MEGA,2012130,"Mar 28, 2025"
,Cats,2025-01-05,Diodenes Of Catania,Budapest,audio,"Bajza Viktória (Grizabella), Géza Egyházi (Old Deuteronomy), Weil Róbert (Gus), Szolnoki Tibor (Gus), Magyar Krisztina (Bombalurina), Berényi Dávid (Munkustrap), Baksa András (Rum Tum Tugger), Éva Sári (Cassandra), Balázs Dávid (Mungojerrie), Réka Zsitva (Rumpleteazer), Jenővári Miklós (Quaxo), Pacskó Dóra (Victoria), Nagy Attila (Coricopat), Szolnoki Tibor (George), Weil Róbert (George), Timea Kecskés (Lengelingéla), Mező Zoltán (Mefisztulész I.), Sárközi Gyula József (Mefisztulész II.), Bakó Máté (Mefisztulész II.), Sárközi Gyula József (Nagy Hirig Macska), Bakó Máté (Nagy Hirig Macska), Kovács Péter (Elvis Trén), Hajdu Gréta (Gimb-Gömb), Attila Serbán (g/p The Cats Chorus), Ernő Zsolt Kiss (g/p The Cats Chorus), Csutka István (g/p The Cats Chorus), Gallusz Nikolett (g/p The Cats Chorus), Rippel Viktor (g/p The Cats Chorus), Rippel Feri (g/p The Cats Chorus), Détár Eniko (g/p The Cats Chorus), Ladinek Judit (g/p The Cats Chorus), Csilla Szoboszlay (g/p The Cats Chorus), Sánta László (g/p The Cats Chorus), Lippai Krisztina (g/p The Cats Chorus), Petrovics Mónika (g/p The Cats Chorus), Zsófia Kisfaludy (g/p The Cats Chorus)","Macskák 1600! gala celebration performance. Includes extended presentations, speeches, and encores. The cast is listed as per the day board (note: many of the cats are titled differently), but there were also many unlisted guest appearances from past and present cast members, I've listed those I could identify (though there were many more).",,,MEGA,2009346,"Jan 5, 2025"
,Sample C,2025-01-05,TV,Online,video,Dave; Eve; Frank,TV broadcast.,Digital,remaster; tv-rip,https://example.com/c,3333,"Jan 5, 2025"
,Audio Sample,2024-12-01,Master X,NY,audio,Alice,Live audio.,FLAC,soundboard; lossless,https://example.com/audio,4444,"Dec 1, 2024"
,The Notebook,2024-11-01,MTTZ,Broadway,video,"Maryann Plunkett (Older Allie), Dorian Harewood (Older Noah), Kim Onah (u/s Middle Allie), Ryan Vasquez (Middle Noah), Anna Zavelson (Younger Allie), Benji Santiago (Younger Noah), Andréa Burns (Mother), Andréa Burns (Nurse Lori), Charles E. Wallace (Father), Hillary Fisher (Sarah), Dorcas Leung (Georgie), Carson Stewart (Fin), Chase Del Rey (Lon), Carson Stewart (Johnny), Yassmin Alers (Nurse Joanna), Charles E. Wallace (Son), Hillary Fisher (Granddaughter), Dorcas Leung (Concierge), Chase Del Rey (Others), Yassmin Alers (Others), Hillary Fisher (Others), Dorcas Leung (Others), Carson Stewart (Others), Charles E. Wallace (Others)","Great capture of this AMAZING show! Shot in a wonderful mix of wides, mediums, and close-ups. Head obstruction on the left that blocks out about 1/4 of the stage (mostly the Older couple scenes in act 1), not too much action is missed. Some wandering, shaking, and re-adjusting throughout. A couple of brief dropouts. Some washout on wide shots. External audio patched in from bobbyskazoo. If you hear me sobbing, no you don’t. Overall a great capture.",,,MEGA,2007943,"Nov 1, 2024"
,The Phantom of the Opera (Andrew Lloyd Webber),2024-10-01,hitmewithyourbethshot,Madrid Revival/Spanish Tour,video,"Gerónimo Rauch (The Phantom of the Opera), Talía del Val (Christine Daaé), Guido Balzaretti (Raoul de Chagny), Marta Pineda (Carlotta Giudicelli), Omar Calicchio (Monsieur Firmin), Enrique R. del Portal (Monsieur André), Silvia Luchetti (Madame Giry), Francisco Ortiz (Ubaldo Piangi), Laura Martín (Meg Giry)",,MTS,,MEGA,2007996,"Oct 1, 2024"
,Cats,2024-09-08,bikinibottomday,Off-Broadway (The Jellicle Ball),video,"""Tempress"" Chasity Moore (Grizabella), André De Shields (Old Deuteronomy), Junior LaBeija (Gus), Garnet Williams (Bombalurina), Dudney Joseph Jr. (Munkustrap), Sydney James Harcourt (Rum Tum Tugger), Bebe Nicole Simpson (Demeter), Emma Sofia (Cassandra), Emma Sofia (Skimbleshanks), Nora Schell (Bustopher Jones), Jonathan Burke (Mungojerrie), Dava Huesca (Rumpleteazer), Xavier Reyes (Jennyanydots), Robert ""Silk"" Mason (Mr. Mistoffelees), Rodrick Covington (Macavity), Bryce Farris (u/s Tumblebrutus), Teddy Wilson Jr. (Sillabub), Kendall Grayson Stroud (Electra), Baby Byrne (Victoria), Tara Lashan Clinkscales (Booth), Phumzile Sojola (Booth), Tara Lashan Clinkscales (Police Officer), Phumzile Sojola (Police Officer), Tara Lashan Clinkscales (Server), Phumzile Sojola (Server), Capital Kaos (DJ)","Great 4K capture of this production’s closing performance! Old Deutoronomy’s entrance sequence, which is approximately 8 minutes long, is blacked out due to the theatre-wide standing ovation. Some action on the balconies or in the audience couldn’t be captured, and because a lot of the staging uses the entire theatre, there are frequent wideshots. Some obstruction in the top right that blocks off a bit of action (mostly at the beginning). Some moments of wandering and unfocusing. The crowd is loud and enthusiastic, which is encouraged, but does mean some moments are difficult to hear and the audio is overwhelming. Curtain call is included (but mostly blindshot), audio is fed from external source.",MP4 (4K) - 10.54 GB,,MEGA,2004067,"Sep 8, 2024"
,Starlight Express,2024-09-08,linsel,"Bochum, Germany",video,"Max Luca Maus (Rusty), Sophie-Rose Middleton (Pearl), Rory McCollum (Greaseball), Jamie Rose-Jones (Electra), Reva Rice (Momma), Demy Janssen (s/w Dinah), Molly McGuire (Belle the Bar Car), Magdalena Wise (s/w Carrie), Daniel Ellison (Caboose), Leon Ohrling (Dustin), Nathan Daly (s/w Flat Top), Óscar Fonseca (u/s Rocky 1), Samuel Lawson (Rocky 2), Ruby Pondayi-Hall (Rocky 3), MJ Dylan (s/w Ruhrgold), Bradley Trevethan (Espresso), Mayke van der Zanden (Coco), Ashley Williams (Brexit), Vladimír Hub (Manga), AJ Parsons (Turnov), Katriona Ramsay (Joule), Sam Parsons (s/w Volta), Maja Johansson (Wrench), Charles-Douglas Mitchell (Killerwatt), Tony Hoggan (Trax 1), Zak Aaron (Trax 2)","Filmed vertically from the front row of spinny seats. Fairly good quality including spinning during the races, though performers aren’t always fully visible when standing towards the center of the stage. Only to be posted publicly with my explicit permission!!",,,MEGA,2006162,"Sep 8, 2024"
