title,date,master,production,category,cast,notes,format,tags,url,encora
The Phantom of the Opera (Andrew Lloyd Webber),1987-10-10,soundboard,West End,audio,"Michael Crawford (The Phantom of the Opera), Rebecca Caine (alt Christine Daaé), Steve Barton (Raoul de Chagny), Rosemary Ashe (Carlotta Giudicelli), Royce Mills (Monsieur Firmin), David Firth (Monsieur André), Mary Millar (Madame Giry), John Aron (Ubaldo Piangi), Janet Devenish (Meg Giry)",,,,,3187
Cats,1995-11-08,Unknown,West End,audio,"Clare Burt (Grizabella), Greame Lauren (s/b Old Deuteronomy), Tony Timberlake (Gus), Vanessa Leagh-Hicks (Bombalurina), Andrew Halliday (Munkustrap), John Partridge (Rum Tum Tugger), Michele Hooper (Demeter), Deborah Shrimpton (Cassandra), Tommi Sliiden (u/s Skimbleshanks), Tony Timberlake (Bustopher Jones), Ian Meeson (Mungojerrie), Vikki Coote (Rumpleteazer), Carrie Ellis (Jellylorum), Beth Robson (u/s Jennyanydots), Thomas Pathon (Mr. Mistoffelees), Richard Armitage (Macavity), Nunzio Lombardo (Alonzo), Tony Timberlake (Growltiger), Daniel Crossley (Bill Bailey), Richard Armitage (Admetus), Daniel Crossley (Tumblebrutus), Sandy Rass (Carbucketty), Kimberley Partridge (Jemima), Nicola Lee-Owens (Electra), Tee Soo-Chan (Tantomile), Sandra Kater (Victoria), David Olton (Coricopat), Charlotte Peck (Etcetera), Steven Wayne (George)",,,,,3428
Cats,2001-05-11,Unknown,West End,audio,"Chrissie Hammond (Grizabella), Mark McKerracher (Old Deuteronomy), Gareth Snook (Gus), Julie Barnes (Bombalurina), David Ashley (Munkustrap), Tom Lucas (Rum Tum Tugger), Barbara King (Demeter), Candice Evans (Cassandra), Ross Finnie (Skimbleshanks), Gareth Snook (Bustopher Jones), Matthew Cross (Mungojerrie), Marilyn Wulff (Rumpleteazer), Rebecca Lock (Jellylorum), Kerry Washington (Jennyanydots), Campbell McKenzie (Mr. Mistoffelees), Philip Michael (Macavity), Sebastian Rose (Alonzo), Gareth Snook (Growltiger), Nick Crossley (Bill Bailey), Philip Michael (Admetus), Nick Crossley (Tumblebrutus), Mark John Richardson (Carbucketty), Lindsey Wise (Jemima), Julie Carlton (Electra), Rachel Mooney (Tantomile), Emma Kerslake (Victoria), Chris Houston (Coricopat)",,,,,3429
Cats,2002-04-26,Unknown,West End,audio,"Chrissie Hammond (Grizabella), Junix Inocian (Old Deuteronomy), Gareth Snook (Gus), Alexis Owen Hobbs (Bombalurina), Jack Rebaldi (Munkustrap), John Partridge (Rum Tum Tugger), Barbara King (Demeter), Ross Finnie (Skimbleshanks), Gareth Snook (Bustopher Jones), Adrian Edmeades (Mungojerrie), Lynsey Britton (Rumpleteazer), Louisa Shaw (Jellylorum), Susie Fenwick (Jennyanydots), Ben Tyrrell (Mr. Mistoffelees), Gareth Snook (Growltiger), Caroline Bagnall (Jemima), Louisa Shaw (Griddlebone)",,,,,3430
Cats,2002-05-11,Unknown,West End,audio,"Chrissie Hammond (Grizabella), Junix Inocian (Old Deuteronomy), Alexis Owen Hobbs (Bombalurina), Jack Rebaldi (Munkustrap), John Partridge (Rum Tum Tugger), Barbara King (Demeter), Tiffany Graves (Cassandra), Sandy Rass (u/s Skimbleshanks), Peter Polycarpou (Bustopher Jones), Adrian Edmeades (Mungojerrie), Lynsey Britton (Rumpleteazer), Susie Fenwick (Jennyanydots), Ben Tyrrell (Mr. Mistoffelees), Kenny Linden (Macavity), Robert Foley (Bill Bailey), Jye Frasca (Carbucketty), Caroline Bagnall (Jemima), Julie Carlton (Electra), Matthew Atwell (Victor), Helen Harper (Tantomile), Chris Jarvis (Rumpus Cat), Sorrell Thomas (Victoria), Oliver Tydman (Coricopat), Sarah Jane Honeywell (Etcetera)",,,,,3431
Cats,2015-10-28,Toshos,West End Revival,audio,"Beverley Knight (Grizabella), Adam Linstead (Old Deuteronomy), Paul F Monaghan (Gus), Emma Lee Clark (Bombalurina), Matt Krzan (Munkustrap), Marcquelle Ward (Rum Tum Tugger), Anna Woodside (Demeter), Danielle Cato (Cassandra), Evan James (Skimbleshanks), Paul F Monaghan (Bustopher Jones), Harry Francis (Mungojerrie), Georgie Leatherland (Rumpleteazer), Clare Rickard (Jellylorum), Jane Quinn (Jennyanydots), Mark John Richardson (Mr. Mistoffelees), Javier Cid (Macavity), Jack Butterworth (Alonzo), Paul F Monaghan (Growltiger), Jon-Scott Clark (Bill Bailey), Javier Cid (Admetus), Jon-Scott Clark (Tumblebrutus), Jordan Shaw (Carbucketty), Tarryn Gee (Jemima), Gabrielle Cocca (Tantomile), Hannah Kenna Thomas (Victoria), Alex Pinder (u/s Coricopat)",,Untracked M4A - 128.9 MB,,,3435
Cats,1982-09-28,Unknown,Broadway,audio,"Betty Buckley (Grizabella), Ken Page (Old Deuteronomy), Stephen Hanan (Gus), Donna King (Bombalurina), Harry Groener (Munkustrap), Terrence Mann (Rum Tum Tugger), Wendy Edmead (Demeter), Rene Ceballos (Cassandra), Reed Jones (Skimbleshanks), Stephen Hanan (Bustopher Jones), Christine Langner (Rumpleteazer), Bonnie Simmons (Jellylorum), Anna McNeely (Jennyanydots), Timothy Scott (Mr. Mistoffelees), Kenneth Ard (Macavity), Héctor Jaime Mercado (Alonzo), Stephen Hanan (Growltiger), Robert Hoshour (Tumblebrutus), Stephen Gelfer (Carbucketty), Whitney Kershaw (Sillabub), Kenneth Ard (Plato), Marlene Danielle (Tantomile), Cynthia Onrubia (Victoria), Rene Clemente (Coricopat), Christine Langner (Etcetera)",,Tracked MP3 (157.6MB),,,3438
Cats,2000-06-23,Unknown,Broadway,audio,"Linda Balgord (Grizabella), Jimmy Lockett (Old Deuteronomy), John Dewar (Gus), Marlene Danielle (Bombalurina), Jeffry Denman (Munkustrap), Stephen Binskie (Rum Tum Tugger), Lena Hall (Demeter), James Hadley (Skimbleshanks), John Dewar (Bustopher Jones), Jean Arbeiter (Jellylorum), Sharon Wheatley (Jennyanydots), John Dewar (Growltiger)",,,,,3439
Cats,2000-09-10,Unknown,Broadway,audio,"Linda Balgord (Grizabella), Jimmy Lockett (Old Deuteronomy), John Dewar (Gus), Marlene Danielle (Bombalurina), Jeffry Denman (Munkustrap), Stephen Binskie (Rum Tum Tugger), Gayle Holsman (Demeter), Melissa Rae Mahon (Cassandra), James Hadley (Skimbleshanks), John Dewar (Bustopher Jones), Roger Kachel (Mungojerrie), Maria Jo Ralabate (Rumpleteazer), Jean Arbeiter (Jellylorum), Sharon Wheatley (Jennyanydots), Julius Sermonia (Mr. Mistoffelees), Keith Edward Wilson (Macavity), Lenny Daniel (Alonzo), John Dewar (Growltiger), Patrick Mullaney (Bill Bailey), Keith Edward Wilson (Admetus), Patrick Mullaney (Tumblebrutus), Jessica Dillan (Sillabub), Jon-Erik Goldberg (Pouncival), Amy Hamel (Tantomile), Melissa Hathaway (Victoria), Billy Johnstone (Coricopat)",,Tracked MP3 (64.5MB),,,3441
Cats,2016-07-14,Unknown,First Broadway Revival,audio,"Leona Lewis (Grizabella), Quentin Earl Darrington (Old Deuteronomy), Christopher Gurr (Gus), Christine Cornish (Bombalurina), Andy Huntington Jones (Munkustrap), Tyler Hanes (Rum Tum Tugger), Kim Faure (Demeter), Emily Pynenburg (Cassandra), Jeremy Davis (Skimbleshanks), Christopher Gurr (Bustopher Jones), Jess LeProtto (Mungojerrie), Shonica Gooden (Rumpleteazer), Sara Jean Ford (Jellylorum), Eloise Kropp (Jennyanydots), Ricky Ubeda (Mr. Mistoffelees), Ahmad Simmons (Alonzo), Giuseppe Bausilio (Carbucketty), Arianna Rosario (Sillabub), Sharrod Williams (Pouncival), Lili Froehlich (Electra), Christopher Gurr (Peter), Emily Tate (Tantomile), Georgina Pazcoguin (Victoria), Corey John Snide (Coricopat)",,Untracked M4A (56.5MB),,,3443
Cats,2016-07-21,cursetheflame,First Broadway Revival,audio,"Leona Lewis (Grizabella), Quentin Earl Darrington (Old Deuteronomy), Christopher Gurr (Gus), Christine Cornish (Bombalurina), Andy Huntington Jones (Munkustrap), Tyler Hanes (Rum Tum Tugger), Kim Faure (Demeter), Emily Pynenburg (Cassandra), Jeremy Davis (Skimbleshanks), Christopher Gurr (Bustopher Jones), Jess LeProtto (Mungojerrie), Shonica Gooden (Rumpleteazer), Sara Jean Ford (Jellylorum), Eloise Kropp (Jennyanydots), Ricky Ubeda (Mr. Mistoffelees), Daniel Gaymon (Macavity), Ahmad Simmons (Alonzo), Christopher Gurr (Growltiger), Daniel Gaymon (Admetus), Giuseppe Bausilio (Carbucketty), Arianna Rosario (Sillabub), Sharrod Williams (Pouncival), Lili Froehlich (Electra), Emily Tate (Tantomile), Georgina Pazcoguin (Victoria), Corey John Snide (Coricopat)",,Untracked MP3 (68.8MB),,,3444
Cats,2016-09-03,natprouvaire,First Broadway Revival,audio,"Leona Lewis (Grizabella), Quentin Earl Darrington (Old Deuteronomy), Christopher Gurr (Gus), Christine Cornish (Bombalurina), Andy Huntington Jones (Munkustrap), Tyler Hanes (Rum Tum Tugger), Madison Mitchell (u/s Demeter), Emily Pynenburg (Cassandra), Aaron J. Albano (u/s Skimbleshanks), Christopher Gurr (Bustopher Jones), Jess LeProtto (Mungojerrie), Shonica Gooden (Rumpleteazer), Sara Jean Ford (Jellylorum), Francesca Granell (u/s Jennyanydots), Ricky Ubeda (Mr. Mistoffelees), Daniel Gaymon (Macavity), Ahmad Simmons (Alonzo), Christopher Gurr (Growltiger), Daniel Gaymon (Admetus), Giuseppe Bausilio (Carbucketty), Arianna Rosario (Sillabub), Sharrod Williams (Pouncival), Lili Froehlich (Electra), Claire Camp (Tantomile), Georgina Pazcoguin (Victoria), Corey John Snide (Coricopat)",,Untracked M4A (57.2MB),,,3449
Cats,2016-09-10,natprouvaire,First Broadway Revival,audio,"Leona Lewis (Grizabella), Quentin Earl Darrington (Old Deuteronomy), Christopher Gurr (Gus), Christine Cornish (Bombalurina), Andy Huntington Jones (Munkustrap), Tyler Hanes (Rum Tum Tugger), Kim Faure (Demeter), Emily Pynenburg (u/s Cassandra), Aaron J. Albano (u/s Skimbleshanks), Christopher Gurr (Bustopher Jones), Jess LeProtto (Mungojerrie), Shonica Gooden (Rumpleteazer), Sara Jean Ford (Jellylorum), Eloise Kropp (Jennyanydots), Ricky Ubeda (Mr. Mistoffelees), Daniel Gaymon (Macavity), Ahmad Simmons (Alonzo), Christopher Gurr (Growltiger), Daniel Gaymon (Admetus), Giuseppe Bausilio (Carbucketty), Arianna Rosario (Sillabub), Sharrod Williams (Pouncival), Lili Froehlich (Electra), Emily Tate (Tantomile), Georgina Pazcoguin (Victoria), Corey John Snide (Coricopat)",,Untracked M4A (57.8MB),,,3450
Cats,2016-10-17,natprouvaire,First Broadway Revival,audio,"Mamie Parris (Grizabella), Quentin Earl Darrington (Old Deuteronomy), Christopher Gurr (Gus), Christine Cornish (Bombalurina), Andy Huntington Jones (Munkustrap), Tyler Hanes (Rum Tum Tugger), Madison Mitchell (u/s Demeter), Emily Pynenburg (Cassandra), Jeremy Davis (Skimbleshanks), Christopher Gurr (Bustopher Jones), Jess LeProtto (Mungojerrie), Shonica Gooden (Rumpleteazer), Sara Jean Ford (Jellylorum), Eloise Kropp (Jennyanydots), Ricky Ubeda (Mr. Mistoffelees), Daniel Gaymon (Macavity), Ahmad Simmons (Alonzo), Christopher Gurr (Growltiger), Daniel Gaymon (Admetus), Tanner Ray Wilson (Carbucketty), Arianna Rosario (Sillabub), Sharrod Williams (Pouncival), Lili Froehlich (Electra), Emily Tate (Tantomile), Georgina Pazcoguin (Victoria), Corey John Snide (Coricopat)",,Untracked MP3 (55.35MB),,,3455
Cats,2017-04-09,oydtrades,First Broadway Revival,audio,"Mamie Parris (Grizabella), Quentin Earl Darrington (Old Deuteronomy), Christopher Gurr (Gus), Claire Camp (s/w Bombalurina), Andy Huntington Jones (Munkustrap), Tyler Hanes (Rum Tum Tugger), Kim Faure (Demeter), Emily Pynenburg (Cassandra), Jeremy Davis (Skimbleshanks), Christopher Gurr (Bustopher Jones), Zachary Daniel Jones (Mungojerrie), Francesca Granell (s/w Rumpleteazer), Sarah Jane Shanks (Jellylorum), Eloise Kropp (Jennyanydots), Ricky Ubeda (Mr. Mistoffelees), Daniel Gaymon (Macavity), Ahmad Simmons (Alonzo), Tyler Hanes (Bill Bailey), Andrew Wilson (Tumblebrutus), Jakob Karr (Carbucketty), Arianna Rosario (Sillabub), Sharrod Williams (Pouncival), Lili Froehlich (Electra), Daniel Gaymon (Plato), Christopher Gurr (Peter), Quentin Earl Darrington (Victor), Jonalyn Saxer (s/w Tantomile), Emily Tate (u/s Victoria), Tanner Ray Wilson (s/w Coricopat), Richard Todd Adams (The Cats Chorus), Spencer Clark (s/w The Cats Chorus), Jessica Hendy (The Cats Chorus), Madison Mitchell (The Cats Chorus), Megan Ort (The Cats Chorus)",Includes Mamie's BCEFA speech.,Tracked MP3 (118.2MB),,,3458
Cats,2016-12-22,hwilki,First Broadway Revival,video,"Mamie Parris (Grizabella), Quentin Earl Darrington (Old Deuteronomy), Christopher Gurr (Gus), Christine Cornish (Bombalurina), Andy Huntington Jones (Munkustrap), Harris Milgrim (u/s Rum Tum Tugger), Kim Faure (Demeter), Emily Pynenburg (Cassandra), Jeremy Davis (Skimbleshanks), Christopher Gurr (Bustopher Jones), Jess LeProtto (Mungojerrie), Shonica Gooden (Rumpleteazer), Sarah Jane Shanks (Jellylorum), Eloise Kropp (Jennyanydots), Ricky Ubeda (Mr. Mistoffelees), Daniel Gaymon (Macavity), Ahmad Simmons (Alonzo), Christopher Gurr (Growltiger), Daniel Gaymon (Admetus), Tanner Ray Wilson (t/r Carbucketty), Arianna Rosario (Sillabub), Sharrod Williams (Pouncival), Lili Froehlich (Electra), Emily Tate (Tantomile), Georgina Pazcoguin (Victoria), Corey John Snide (Coricopat)",,MOV (3.62GB),,,3461
We Will Rock You,2004-08-18,Unknown,West End,audio,"Peter Johansson (u/s Galileo), Jenna Lee-James (u/s Scaramouche), Caroline Deverill (u/s Killer Queen), Chris Holland (u/s Khashoggi), Julie Stark (u/s Meat), Julie Stark (u/s Oz), Nigel Clauzel (Brit), Nigel Planer (Buddy), Nigel Clauzel (J.B.), Nigel Planer (Pop), Nigel Planer (Bap), Mazz Murray (Teacher)",,Tracked MP3 (137.8MB),,,3468
Cats,2003-03-03,Unknown,Third UK Tour,audio,"Chrissie Hammond (Grizabella), Nicholas Pound (Old Deuteronomy), Norman Bowman (Munkustrap), Stuart Ramsay (Rum Tum Tugger), Guy-Paul Roult de St Germain (Mr. Mistoffelees)",,,,,3508
Cats,2006-06-24,Unknown,Fourth UK Tour,audio,"Dianne Pilkington (Grizabella), Nicholas Pound (Old Deuteronomy), Christopher Howell (Gus), Lorraine Chappell (Bombalurina), Dean Maynard (Munkustrap), Gary Watson (Rum Tum Tugger), Phil Hogan (Skimbleshanks), Christopher Howell (Bustopher Jones), Zak Nemorin (Mungojerrie), Sarah Meade (Rumpleteazer), Zoë Curlett (Jellylorum), Lorraine Graham (Jennyanydots), Trevor Schoonraad (Mr. Mistoffelees), Christopher Howell (Growltiger), Carrie Sutton (Jemima)",,,,,3509
Cats,2007-09-13,MusicalShoes,Fourth UK Tour,audio,"Chrissie Hammond (Grizabella), James Paterson (Old Deuteronomy), Patrick Clancy (Gus), Lorraine Chappell (Bombalurina), Dean Maynard (Munkustrap), Stuart Ramsay (Rum Tum Tugger), Zoe Smith (Demeter), Lauren Brooke (Cassandra), Matthew Gould (Skimbleshanks), Patrick Clancy (Bustopher Jones), Zak Nemorin (Mungojerrie), Joanne McShane (Rumpleteazer), Zoë Curlett (Jellylorum), Tania Newton (Jennyanydots), Trevor Schoonraad (Mr. Mistoffelees), Luke Jackson (Macavity), Ryan Dixon (Alonzo), Patrick Clancy (Growltiger), Alex Durrant (Bill Bailey), Luke Jackson (Admetus), Alex Durrant (Tumblebrutus), Craig Turbyfield (Carbucketty), Charlotte Scott (u/s Jemima), Tori Johns (u/s Tantomile), Rachel Ensor (Victoria), Philip Comley (Coricopat)",,,,,3510
Cats,2008-12-05,Unknown,Fourth UK Tour,audio,"Roimata Templeton (Grizabella), James Paterson (Old Deuteronomy), Carl Sanderson (Gus), Natalie Edmunds (Bombalurina), Matthew Goodgame (Munkustrap), Pepe Muñoz (Rum Tum Tugger), Melanie Cripps (Demeter), Anique Bosch (u/s Cassandra), Matthew Gould (Skimbleshanks), Carl Sanderson (Bustopher Jones), Andy Prosser (Mungojerrie), Joanne McShane (Rumpleteazer), Laura Darkins (Jellylorum), Barbara King (Jennyanydots), Mark John Richardson (Mr. Mistoffelees), David Paul Kierse (Macavity), Ryan Dixon (Alonzo), Carl Sanderson (Growltiger), Daymon Montaigne Jones (u/s Bill Bailey), David Paul Kierse (Admetus), Daymon Montaigne Jones (u/s Tumblebrutus), Craig Turbyfield (Carbucketty), Harriet Challen Smith (Jemima), Emily Goodenough (Tantomile), Rachel Ensor (Victoria), Stephen Zenker (Coricopat)",,Tracked MP3 - 55.7 MB,,,3511
Cats,2008-12-07,Unknown,Fifth UK Tour,audio,"Roimata Templeton (Grizabella), James Paterson (Old Deuteronomy), Carl Sanderson (Gus), Natalie Edmunds (Bombalurina), Matthew Goodgame (Munkustrap), Pepe Muñoz (Rum Tum Tugger), Melanie Cripps (Demeter), Bonnie Parker (Cassandra), Matthew Gould (Skimbleshanks), Carl Sanderson (Bustopher Jones), Andy Prosser (Mungojerrie), Joanne McShane (Rumpleteazer), Laura Darkins (Jellylorum), Barbara King (Jennyanydots), Mark John Richardson (Mr. Mistoffelees), David Paul Kierse (Macavity), Ryan Dixon (Alonzo), Carl Sanderson (Growltiger), Nic Ineson (Bill Bailey), David Paul Kierse (Admetus), Nic Ineson (Tumblebrutus), Craig Turbyfield (Carbucketty), Harriet Challen Smith (Jemima), Emily Goodenough (Tantomile), Anique Bosch (u/s Victoria), Stephen Zenker (Coricopat)",,Tracked MP3 - 152.8 MB,,,3512
Cats,2014-06-20,Unknown,Fifth UK Tour,audio,"Sophia Ragavelas (Grizabella), Nicholas Pound (Old Deuteronomy), Filippo Strocchi (Rum Tum Tugger), Zizi Strallen (Demeter), Benjamin Yates (Mungojerrie), Dawn Williams (Rumpleteazer), Adam Lake (Alonzo)",,Tracked MP3 - 317.5 MB,,,3515
Cats,2014-07-05,Unknown,Fifth UK Tour,audio,"Sophia Ragavelas (Grizabella), Nicholas Pound (Old Deuteronomy), Callum Train (Munkustrap), Adam Lake (u/s Rum Tum Tugger), Zizi Strallen (Demeter), Benjamin Yates (Mungojerrie), Abigail Jaye (Jennyanydots), Joseph Poulton (Mr. Mistoffelees), Adam Salter (Bill Bailey), Adam Salter (Tumblebrutus), Kathryn Barnes (Tantomile), Benjamin Mundy (Coricopat)",,,,,3516
Cats,1998-07-15,Unknown,Hamburg,audio,"Kristin Hölck (Grizabella), Stephan Drakulich (Old Deuteronomy), Lachlan Youngberg (Gus), John Partridge (Munkustrap), Ray Strachan (Rum Tum Tugger), Marco Krämer (Skimbleshanks), Lachlan Youngberg (Bustopher Jones), Livio Salvi (Mungojerrie), Virginia Lilly (Rumpleteazer), Tanya Christensen (Jennyanydots), Damian Kacperski (Mr. Mistoffelees), Lachlan Youngberg (Growltiger)",,,,,3520
Cats,2002-06-30,Unknown,Stuttgart,audio,"Roimata Templeton (Grizabella), Jonathan Agar (Old Deuteronomy), Brian Bowley (Gus), Tanja Meier (Bombalurina), Alex Wengel (Munkustrap), Andreas Wolfram (Rum Tum Tugger), Ramona Ludwig (Demeter), Christine Haaga (Cassandra), Jonathan Tilley (Skimbleshanks), Brian Bowley (Bustopher Jones), Angus MacMillan (Mungojerrie), Angela Gee (Rumpleteazer), Marion Wilmer (Jellylorum), Tersia Potgieter (Jennyanydots), Cary Chennell (Mr. Mistoffelees), Ray Hogg (Macavity), David Boyd (Alonzo), Brian Bowley (Growltiger), Daymon Montaigne Jones (Bill Bailey), Ray Hogg (Admetus), Daymon Montaigne Jones (Tumblebrutus), Guiliano Mercoli (Carbucketty), Rachael Crocker (Jemima), Fiona Watters (Tantomile), Souzan Alavi (Victoria), Jamie Karitzis (Coricopat)",,Tracked MP3 - 206.5 MB,,,3521
Cats,2011-01-21,Unknown,German Tent Tour,audio,"Masha Karell (Grizabella), Martin Berger (Old Deuteronomy), Frank Logemann (Gus), Ines Hengl-Pirker (Bombalurina), Shane Dickson (u/s Munkustrap), Dominik Hees (Rum Tum Tugger), Cornelia Waibel (Demeter), Elisabeth Hazel Bell (Cassandra), Paul Knights (Skimbleshanks), Frank Logemann (Bustopher Jones), Dane Quixall (u/s Mungojerrie), Marleen De Vries (Rumpleteazer), Barbara Tartaglia (Jellylorum), Ann-Christin Elverum (Jennyanydots), Mark John Richardson (Mr. Mistoffelees), Jason Winter (Macavity), Matt Huet (Alonzo), Frank Logemann (Growltiger), Nils Haberstroh (Bill Bailey), Jason Winter (Admetus), Nils Haberstroh (Tumblebrutus), Andrés Pérez Lopez (Carbucketty), Isabela Silvova (u/s Jemima), Jo Lucy Rackham (Electra), Dörte Niedermeier (u/s Tantomile), Anique Bosch (Victoria), John Baldoz (Coricopat)",,Tracked MP3 - 126.4 MB,,,3524
Cats,2011-04-07,Unknown,German Tent Tour,audio,"Femke Soetenga (alt Grizabella), Martin Berger (Old Deuteronomy), Frank Logemann (Gus), Ines Hengl-Pirker (Bombalurina), Matt Huet (u/s Munkustrap), Shane Dickson (u/s Rum Tum Tugger), Emma Hunter (u/s Demeter), Elisabeth Hazel Bell (Cassandra), Dane Quixall (u/s Skimbleshanks), Frank Logemann (Bustopher Jones), Tommie Luyben (Mungojerrie), Marleen De Vries (Rumpleteazer), Barbara Tartaglia (Jellylorum), Eva Maria Bender (u/s Jennyanydots), Jason Winter (u/s Mr. Mistoffelees), Adam Margilewski (u/s Macavity), Adam Margilewski (u/s Alonzo), Frank Logemann (Growltiger), Nils Haberstroh (Bill Bailey), Adam Margilewski (u/s Admetus), Nils Haberstroh (Tumblebrutus), Myrthes Monteiro (Jemima), Jo Lucy Rackham (Electra), Isabela Silvova (Tantomile), Anique Bosch (Victoria), Dörte Niedermeier (u/s Coricopat)",,,,,3529
Cats,2013-02-24,Toshos,German Tent Tour,audio,"Eva Maria Bender (u/s Grizabella), Pieter Tredoux (Old Deuteronomy), Yngve Gasoy-Romdal (Gus), Schirin Kazemi (Bombalurina), Robert David Marx (Munkustrap), Adam Lake (u/s Rum Tum Tugger), Bridie Rack (u/s Demeter), Jaymee Bellprat (Cassandra), Dane Quixall (u/s Skimbleshanks), Yngve Gasoy-Romdal (Bustopher Jones), Gavin Eden (Mungojerrie), Jo Lucy Rackham (Rumpleteazer), Leah Delos Santos (u/s Jellylorum), Nicky Milford (u/s Jennyanydots), Jack Allen (alt Mr. Mistoffelees), Sam Murphy (Alonzo), Daniel Therrien (Bill Bailey), Josh Andrews (Carbucketty), Veronika Enders (u/s Jemima), Csaba Farago (Plato), Minori Therrien (Tantomile), Theano Makariou (u/s Victoria), Ross McDermott (u/s Coricopat)",,,,,3538
Cats,2013-05-04,Toshos,German Tent Tour,audio,"Nazide Aylin (u/s Grizabella), Pieter Tredoux (Old Deuteronomy), Yngve Gasoy-Romdal (Gus), Schirin Kazemi (Bombalurina), Robert David Marx (Munkustrap), Adam Lake (u/s Rum Tum Tugger), Maria Walter (Demeter), Nicky Milford (u/s Cassandra), Dane Quixall (u/s Skimbleshanks), Yngve Gasoy-Romdal (Bustopher Jones), Gavin Eden (Mungojerrie), Jasmin Colangelo (u/s Rumpleteazer), Lillemor Spitzer (Jellylorum), Eva Maria Bender (Jennyanydots), Mark John Richardson (Mr. Mistoffelees), Sam Murphy (Alonzo), Daniel Therrien (Bill Bailey), Ross McDermott (u/s Carbucketty), Bridie Rack (u/s Jemima), Matt Huet (u/s Plato), Minori Therrien (Tantomile), Jaymee Bellprat (u/s Victoria), Christian De Varas (Coricopat)",,,,,3540
Cats,2013-05-05,Toshos,German Tent Tour,audio,"Eva Maria Bender (u/s Grizabella), Pieter Tredoux (Old Deuteronomy), Yngve Gasoy-Romdal (Gus), Schirin Kazemi (Bombalurina), Robert David Marx (Munkustrap), Nicky Wuchinger (Rum Tum Tugger), Nicky Milford (u/s Demeter), Elisabeth Hazel Bell (u/s Cassandra), Adam Lake (u/s Skimbleshanks), Yngve Gasoy-Romdal (Bustopher Jones), Daniel Therrien (u/s Mungojerrie), Jasmin Colangelo (u/s Rumpleteazer), Lillemor Spitzer (Jellylorum), Leah Delos Santos (u/s Jennyanydots), Gavin Eden (u/s Mr. Mistoffelees), Sam Murphy (Alonzo), Dane Quixall (u/s Carbucketty), Bridie Rack (u/s Jemima), Matt Huet (u/s Plato), Minori Therrien (Tantomile), Jaymee Bellprat (u/s Victoria), Christian De Varas (Coricopat)",,Untracked MP3 - 188.6 MB,,,3541
Cats,2007-06-26,Unknown,Japan,audio,"Yuki Tarumi (Grizabella), Shizuo Tanei (Old Deuteronomy), Kyousuke Tajima (Gus), Yuji Aoyama (Munkustrap), Tsutomu Arakawa (Rum Tum Tugger), Tomoko Okuchi (Cassandra), Yoshihiro Kishi (Skimbleshanks), Hiroshi Mutou (Mungojerrie), Miho Isotani (Rumpleteazer), Yukano Suzuki (Jennyanydots), Yuki Matsushima (Mr. Mistoffelees), Takashi Katayama (Macavity), Sachiko Kanai (Victoria), Takakuni Hagiwara (Gilbert)",,,,,3544
Cats,2015-11-22,thesepalacewalls,Australia / New Zealand Tour,audio,"Delta Goodrem (Grizabella), Jason Wasley (Old Deuteronomy), Josh Piterman (Gus), Sarah Landy (Bombalurina), Matthew McFarlane (Munkustrap), Daniel Assetta (Rum Tum Tugger), Josh Piterman (Bustopher Jones), Josh Piterman (Growltiger), Josh Piterman (Asparagus)",,Tracked MP3 (161.3MB),,,3546
Cats,2016-07-01,Unknown,Paris Revival,audio,Prisca Demarez (Grizabella),,,,,3547
Cats,2016-09-24,cynicale,Oasis Of The Seas,audio,"Vivienne Carlyle (Grizabella), John Dempsey (Rum Tum Tugger)",,,,,3549
A Chorus Line,2013-07-06,cynicale,West End Revival,audio,"John Partridge (Zach), Scarlett Strallen (Cassie), Ashley Nottingham (u/s Larry), Vicki Lee Taylor (Maggie), Alexzandra Sarmiento (Connie), Rebecca Herszenhorn (Val), Marc Leslie (u/s Don), Georgie Ashford (u/s Bebe), Simon Hardwick (Al), James T. Lane (Richie), Andy Rees (Greg), Victoria Hamilton-Barritt (Diana), Adam Salter (Mike), Lucy Jane Adcock (Judy), Leigh Zimmerman (Sheila), Jon Tsouras (u/s Bobby), Katy Hards (u/s Kristine), Michael Steedon (u/s Paul), Harry Francis (Mark), Segun Fawole (Butch), Alice Jane Murray (Lois)",,,,,3594
Jesus Christ Superstar,2008-04-30,Unknown,Vienna Concert,audio,"Ramin Dustdar (Jesus Christ), Armin Rostarmi (Judas Iscariot), Beatrix Knoth (Mary Magdalene), Terry Chladt (Pontius Pilate), Tobias Strohmaier (Peter), Tobias Strohmaier (Simon Zealotes)",,,,,3919
Kinky Boots,2017-11-30,p1nklady,Hamburg,audio,"Gino Emnes (Lola), Dominik Hees (Charlie Price), Jeannine Wacker (Lauren), Benjamin Eberling (Don), Tilman Madaus (George), Franziska Schuster (Nicola), Fleur Alders (Trish)",,Untracked MP3 - 299.9 MB,,,3964
