title,date,master,production,category,cast,notes,format,tags,url,encora
American Psycho,2016-03-29,SunsetBlvd79,Broadway,video,"Benjamin Walker (Patrick Bateman), Jennifer Damiano (Jean), Drew Moerlein (Paul Owen), Alice Ripley (Mrs. Bateman), Alice Ripley (Mrs. Wolfe), Alice Ripley (Svetlana), Dave Thomas Brown (David Van Patten), Jordan Dean (Luis Carruthers), Anna Eilinsfeld (Victoria), Ericka Hunter Yang (Sabrina), Jason Hite (Sean Bateman), Heléne Yorke (Evelyn Williams), Ericka Hunter Yang (Video Store Clerk), Krystina Alabado (Vanden), Theo Stockman (Timothy Price), Holly James (Christine), Alex Michael Stoll (Craig McDermott), Morgan Weed Whitley (Courtney Lawrence), Alex Michael Stoll (ATM), Keith Randolph Smith (Al), Alex Michael Stoll (Tom Cruise), Keith Randolph Smith (Detective Donald Kimball), Holly James (Hardbody Trainer), Holly James (Hardbody Waitress), Krystina Alabado (Club Singer)",Excellent capture of the new dark musical transfer from the West End. Great cast and wonderful 80s style and inspired musical. A,VOB & smalls,,,373
The Bridges of Madison County,2014-03-09,SunsetBlvd79,Broadway,video,"Kelli O'Hara (Francesca Johnson), Steven Pasquale (Robert Kincaid), Hunter Foster (Bud Johnson), Cass Morgan (Marge), Michael X. Martin (Charlie), Derek Klena (Michael Johnson), Caitlin Kinnunen (Carolyn Johnson), Whitney Bashor (Marian), Whitney Bashor (Chiara)",,VOB with smalls (8.05GB),,,381
Carousel,2018-03-02,NYCG8R,Third Broadway Revival,video,"Joshua Henry (Billy Bigelow), Jessie Mueller (Julie Jordan), Renée Fleming (Nettie Fowler), Lindsay Mendez (Carrie Pipperidge), Alexander Gemignani (Enoch Snow), Margaret Colin (Mrs. Mullin), John Douglas Thompson (The Starkeeper), Amar Ramasar (Jigger Craigin), Garett Hawe (Enoch Snow Jr.), Brittany Pollack (Louise Bigelow), Andrei Chagas (Fairground Boy)",,,,,402
Gypsy,2008-03-25,SunsetBlvd79,Fourth Broadway Revival,video,"Patti LuPone (Rose), Boyd Gaines (Herbie), Laura Benanti (Louise), Leigh Ann Larkin (June), Alison Fraser (Tessie Tura), Marilyn Caskey (Electra), Lenora Nemetz (Mazeppa), Tony Yazbeck (Tulsa), Lenora Nemetz (Miss Cratchitt)","A not-to-be-missed production, very detailed and near perfection. Beautifully captured and performances that embody the definition of musical theater. Great close-ups. Some blackouts but not on the musical numbers. Balcony edge can be seen sometimes. Masterclass performances. A",,,,432
Newsies,2016-03-06,kradder32,First US National Tour,video,"Joey Barreiro (Jack Kelly), Stephen Michael Langton (Davey Jacobs), Morgan Keene (Katherine Plumber), Zachary Sayle (Crutchie), Steve Blanchard (Joseph Pulitzer), Aisha de Haas (Medda Larkin), John Michael Pitera (Les Jacobs), Andrew Wilson (u/s Darcy)",,,,,446
My Fair Lady,2005-10-12,pro-shot,UK Tour (2005),video,"Amy Nuttall (Eliza Doolittle), Christopher Cazenove (Henry Higgins), Stephen Carlile (Freddy Eynsford-Hill), Honor Blackman (Mrs. Higgins), Russ Abbot (Alfred P. Doolittle), Stephen Moore (Colonel Hugh Pickering)",,,,,520
Falsettos,2017-01-08,putawaythefairytales,First Broadway Revival,audio,"Christian Borle (Marvin), Andrew Rannells (Whizzer), Stephanie J. Block (Trina), Brandon Uranowitz (Mendel), Anthony Rosenthal (Jason), Tracie Thoms (Dr. Charlotte), Betsy Wolfe (Cordelia)",,,,,658
Frozen,2018-02-22,Today4UTomorrow4Netflix,Broadway,audio,"Caissie Levy (Elsa), Patti Murin (Anna), Brooklyn Nelson (Young Elsa), Mattea Conforti (Young Anna), Greg Hildreth (Olaf), Jelani Alladin (Kristoff), Andrew Pirozzi (Sven), John Riddle (Hans), Kevin Del Aguila (Oaken), Robert Creighton (Weselton), Timothy Hughes (Pabbie), Olivia Phillip (Bulda), James Brown III (King Agnarr), Ann Sanders (Queen Iduna)",,MP3 (tracked) - 160 MB,,,663
Aladdin,2014-11-05,SunsetBlvd79,Broadway,video,"Adam Jacobs (Aladdin), Courtney Reed (Jasmine), Michael James Scott (s/b Genie), Merwin Foard (s/b Jafar), Clifton Davis (Sultan), Don Darryl Rivera (Iago), Brian Gonzales (Babkak), Jonathan Schwartz (Omar), Brandon O'Neill (Kassim)",Beautiful HD capture of latest Disney Broadway offering. Great to see the changes from the Toronto tryout. Michael and Merwin do terrific jobs as Genie and Jafar. Includes Adam's Broadway Cares speech.,,,,679
Waitress,2017-01-25,PopularLikeMe,Broadway,audio,"Jessie Mueller (Jenna), Anastacia McCleskey (u/s Becky), Caitlin Houlahan (Dawn), Drew Gehling (Dr. Pomatter), Christopher Fitzgerald (Ogie), Joe Cassidy (t/r Cal), Dakin Matthews (Joe), William Popp (Earl)",,,,,944
Wicked,2004-06-13,irnbruise,Broadway,audio,"Idina Menzel (Elphaba), Eden Espinosa (s/b Elphaba), Laura Bell Bundy (s/b Glinda), Kristoffer Cusick (u/s Fiyero), Sean McCourt (u/s The Wizard), Carole Shelley (Madame Morrible), Michelle Federer (Nessarose), Christopher Fitzgerald (Boq), William Youmans (Doctor Dillamond)",Understudy Day! Idina grows progressively sicker throughout the first act. You can really hear it during Defying Gravity and Eden takes over Act 2.,Tracked MP3 (130.5MB),,,970
Hamilton,2018-05-19,GoodMorningVanessa,West End,audio,"Ash Hunter (alt Alexander Hamilton), Rachelle Ann Go (Eliza Hamilton), Sifiso Mazibuko (s/b Aaron Burr), Rachel John (Angelica Schuyler), Obioma Ugoala (George Washington), Jason Pennycooke (Marquis de Lafayette), Jason Pennycooke (Thomas Jefferson), Tarinn Callender (Hercules Mulligan), Tarinn Callender (James Madison), Cleve September (John Laurens), Cleve September (Philip Hamilton), Christine Allado (Peggy Schuyler), Christine Allado (Maria Reynolds), Michael Jibson (King George III), Waylon Jacobs (Philip Schuyler), Waylon Jacobs (James Reynolds), Waylon Jacobs (Doctor), Jack Butterworth (Samuel Seabury), Leslie Garcia Bowman (Charles Lee), Jon-Scott Clark (s/w George Eacker), Leah Hill (Ensemble), Lia Given (s/w Ensemble), Kelly Downing (Ensemble), Johnny Bishop (Ensemble), Lindsey Tierney (s/w Ensemble), Miriam-Teak Lee (Ensemble), Gabriel Mokake (Ensemble)",,Tracked/Untracked MP3 (362.5MB),,,996
Cinderella (Rodgers & Hammerstein),2014-08-21,SJ Bernly,Broadway,video,"Paige Faure (Ella), Joe Carroll (Topher), Victoria Clark (Marie), Nancy Opel (Madame), Todd Buonopane (Jean-Michel), Ann Harada (Charlotte), Stephanie Gibson (Gabrielle), Branch Woodman (u/s Lord Pinkleton), Peter Bartlett (Sebastian)",,,,,1068
"Natasha, Pierre & The Great Comet of 1812",2016-12-29,SJ Bernly,Broadway,video,"Denée Benton (Natasha), Josh Groban (Pierre), Brittain Ashford (Sonya), Grace McLean (Marya D.), Lucas Steele (Anatole), Amber Gray (Hélène), Manik Choksi (Dolokhov), Nicholas Belton (Bolkonsky), Gelsey Bell (Mary), Paul Pinto (Balaga), Nicholas Belton (Andrey), Gelsey Bell (Opera Singer), Gelsey Bell (Maidservant)",,,,,1071
Les Misérables,2007-08-24,Unknown,First Broadway Revival,video,"Drew Sarich (Jean Valjean), Robert Hunt (Javert), Nikki Renée Daniels (u/s Fantine), Ali Ewoldt (Cosette), Adam Jacobs (Marius), Megan McGinnis (Éponine), Chip Zien (Thénardier), Max von Essen (Enjolras), Becca Ayers (u/s Madame Thénardier), Brian D'Addario (Gavroche), Kaylie Rubinaccio (Little Cosette), Kylie Liya Goldstein (Young Éponine), Q Smith (u/s Ensemble)",,,,,1160
A Bed and a Chair: A New York Love Affair,2013-11-13,NYCG8R,Encores! Special Event,video,"Bernadette Peters (Female 1), Cyrille Aimee (Female 2), Norm Lewis (Male 1), Jeremy Jordan (Male 2), Elizabeth Parkinson (Female Dancer 1), Meg Gillentine (Female Dancer 2), Grasan Kingsberry (Male Dancer 1), Tyler Hanes (Male Dancer 2)",,DVD,,,1343
Bring It On: The Musical,2011-12-04,SunsetBlvd79,First US National Tour,video,"Taylor Louderman (Campbell), Adrienne Warren (Danielle), Elle McLemore (Eva), Ryann Redmond (Bridget), Jason Gotay (Randall), Ariana DeBose (Nautica), Gregory Haney (La Cienega), Neil Haskell (Steven), Janet Krupin (Kylar), Kate Rockwell (Skylar), Nicolas Womack (Twig)",,,,,1349
Bandstand,2017-04-01,putawaythefairytales,Broadway,audio,"Corey Cott (Donny Novitski), Laura Osnes (Julia Trojan), James Nathan Hopkins (Jimmy Campbell), Joe Carroll (Johnny Simpson), Geoff Packard (Wayne Wright), Brandon J Ellis (Davy Zlatic), Alex Bender (Nick Radel), Beth Leavel (Mrs. June Adams)",,,,,1451
